revision,unique_types,entropy
5172,1,0.0
5176,2,0.185
5183,7,0.525
5185,3,0.384
5187,1,0.0
5188,3,0.351
5189,2,0.166
5197,7,0.579
5198,1,0.0
5201,6,0.605
5204,0,0.0
5205,1,0.0
5208,4,0.492
5210,4,0.448
5211,2,0.256
5212,1,0.0
5218,2,0.166
5220,6,0.626
5221,6,0.594
5223,3,0.335
5227,4,0.47
5237,1,0.0
5242,1,0.0
5245,7,0.668
5247,2,0.256
5252,2,0.235
5254,6,0.528
5256,6,0.585
5257,1,0.0
5258,1,0.0
5259,2,0.235
5260,1,0.0
5264,2,0.256
5269,2,0.139
5270,4,0.472
5274,4,0.484
5275,2,0.254
5280,0,0.0
5281,4,0.472
5296,8,0.448
5298,1,0.0
5299,3,0.075
5307,1,0.0
5310,0,0.0
5313,5,0.594
5317,3,0.306
5320,4,0.281
5322,2,0.256
5324,2,0.129
5327,3,0.384
5331,0,0.0
5333,0,0.0
5334,2,0.235
5344,8,0.65
5347,11,0.591
5351,4,0.491
5352,3,0.332
5355,2,0.235
5357,4,0.488
5361,1,0.0
5365,6,0.611
5368,9,0.34
5370,4,0.499
5393,5,0.329
5395,9,0.694
5397,1,0.0
5398,1,0.0
5401,0,0.0
5402,3,0.392
5405,6,0.436
5408,1,0.0
5409,9,0.651
5414,6,0.572
5418,6,0.552
5421,5,0.468
5422,1,0.0
5423,5,0.408
5424,4,0.448
5425,2,0.256
5435,2,0.256
5437,5,0.44
5440,5,0.56
5448,6,0.523
5452,7,0.69
5453,7,0.472
5459,2,0.256
5461,7,0.64
5462,6,0.626
5465,5,0.576
5468,5,0.536
5474,3,0.406
5475,1,0.0
5477,2,0.256
5491,8,0.719
5515,5,0.584
5516,1,0.0
5524,5,0.584
5528,4,0.407
5529,1,0.0
5530,1,0.0
5534,6,0.531
5536,1,0.0
5538,1,0.0
5540,3,0.373
5542,6,0.63
5545,2,0.249
5554,5,0.576
5558,3,0.384
5569,2,0.256
5585,4,0.488
5588,9,0.558
5590,3,0.373
5596,3,0.384
5601,5,0.408
5604,1,0.0
5618,1,0.0
5623,4,0.448
5624,4,0.472
5625,2,0.235
5626,2,0.256
5628,1,0.0
5629,5,0.527
5632,3,0.384
5649,4,0.492
5653,0,0.0
5655,0,0.0
5656,2,0.256
5657,6,0.528
5662,4,0.484
5668,0,0.0
5675,4,0.319
5676,2,0.139
5679,5,0.363
5680,4,0.478
5681,5,0.508
5683,1,0.0
5684,7,0.233
5690,2,0.235
5691,3,0.236
5693,5,0.587
5694,1,0.0
5696,1,0.0
5699,1,0.0
5706,3,0.384
5707,2,0.256
5724,5,0.554
5727,0,0.0
5728,4,0.512
5729,8,0.652
5746,1,0.0
5750,3,0.406
5752,1,0.0
5753,3,0.384
5754,3,0.398
5755,4,0.512
5760,4,0.448
5766,5,0.552
5768,9,0.737
5800,1,0.0
5813,2,0.235
5814,6,0.545
5816,3,0.406
5833,3,0.39
5838,1,0.0
5839,4,0.448
5845,0,0.0
5854,0,0.0
5869,3,0.406
5870,2,0.235
5871,1,0.0
5872,3,0.384
5878,4,0.492
5884,2,0.036
5892,6,0.287
5897,2,0.235
5898,3,0.373
5899,5,0.594
5900,3,0.332
5905,6,0.551
5908,2,0.235
5909,5,0.374
5917,5,0.293
5918,1,0.0
5921,2,0.256
5923,1,0.0
5928,1,0.0
5930,2,0.256
5933,3,0.339
5947,2,0.235
5955,1,0.0
5975,1,0.0
5979,5,0.54
5980,1,0.0
5986,2,0.208
5988,3,0.384
5993,3,0.406
6007,1,0.0
6011,2,0.256
6013,3,0.406
