file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
1437,0,1,4,0,0,1,0,3,0,0,0,3,0,0,0,0
1438,0,6,2,0,0,1,8,4,0,0,0,2,0,0,0,0
1472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
1482,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
1484,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1485,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0
1491,0,2,0,0,0,2,0,3,0,0,0,4,0,0,0,0
1495,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1507,0,2,7,0,0,4,0,0,0,0,0,0,0,0,0,2
1511,0,11,18,0,0,8,4,1,0,0,0,3,0,0,0,1
1512,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,0,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0
1535,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1543,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1550,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
